message,label
"В подвале дома №135 обнаружена утечка газа из-за коррозии.",high
"В больнице на 7 этаже сработал датчик утечки газа в ординаторской.",high
"В посёлке 'Степной' газовая магистраль повреждена сельхозтехникой.",high
"В доме №140 газовая плита не отключается после использования.",medium
"В котельной завода 'Энергомаш' аварийное падение давления газа.",high
"В квартире №21 на 3 этаже газовая система шумит при работе.",low
"На ул. Заречной плановая проверка газовых коммуникаций.",low
"В доме №145 газовая колонка не нагревает воду до нужной температуры.",medium
"В кафе 'Рассвет' газовая печь не запускается с первого раза.",medium
"В подвале дома №150 обнаружена утечка газа из-за неисправного вентиля.",high
"В квартире №22 на 6 этаже газовая плита искрит при розжиге.",medium
"В районе ул. Победы аварийная служба ремонтирует газопровод.",high
"В доме №155 газовая труба повреждена во время ремонтных работ.",medium
"В цеху №9 завода произошла утечка газа из-за поломки клапана.",high
"В квартире №23 на 9 этаже газовая колонка периодически гаснет.",low
"В подъезде дома №160 жители сообщают о слабом запахе газа.",medium
"На газовой заправке сломался аварийный датчик давления.",high
"В доме №165 газовая система отключилась из-за перегрузки.",medium
"В ресторане 'Альфа' газовая печь не держит пламя.",medium
"В подвале дома №170 обнаружена утечка газа из-за старых труб.",high
"В квартире №24 на 4 этаже газовая плита не зажигается.",low
"В больнице на 8 этаже сработал датчик утечки газа в палате интенсивной терапии.",high
"В посёлке 'Луговой' газовая магистраль перекрыта из-за аварии.",high
"В доме №175 газовая колонка издаёт странный звук.",low
"В цеху №10 завода 'Нефтехим' утечка газа из-за разрыва трубы.",high
"В квартире №25 на 5 этаже газовая система выдаёт ошибку 'Pressure Error'.",medium
"На ул. Строителей плановый ремонт газовых сетей.",low
"В доме №180 газовая труба покрыта инеем.",medium
"В кафе 'Зодиак' газовая печь дымит при работе.",medium
"В подвале дома №185 обнаружена утечка газа из-за трещины.",high
"В квартире №26 на 10 этаже газовая плита не держит пламя.",low
"В районе ул. Фестивальной аварийная бригада устраняет утечку газа.",high
"В доме №190 газовая колонка не регулирует температуру воды.",low
"В котельной завода 'Тепломаш' сработала аварийная сигнализация.",high
"В частном доме на ул. Вишнёвой газовая система не проходит проверку.",medium
"На газопроводе возле школы №7 обнаружена утечка.",high
"В квартире №27 на 7 этаже газовая плита медленно нагревает посуду.",low
"В подъезде дома №195 жители жалуются на запах газа.",high
"В цеху №11 завода произошло аварийное отключение газа.",high
"В доме №200 газовая труба проржавела на стыке.",medium
"В ресторане 'Галактика' газовая печь не поддерживает заданную температуру.",medium
"В квартире №28 на 8 этаже газовая колонка течёт.",medium
"В подвале дома №205 обнаружена утечка газа из-за коррозии.",high
"В больнице на 9 этаже сработал датчик утечки газа в реанимации.",high
"В посёлке 'Приморский' газовая магистраль повреждена ураганом.",high
"В доме №210 газовая плита не отключается автоматически.",medium
"В котельной завода 'Энергия' аварийное падение давления газа.",high
"В квартире №29 на 6 этаже газовая система шумит при включении.",low
"На ул. Рабочей плановая замена газовых труб.",low
"В доме №215 газовая колонка не нагревает воду.",medium
"В кафе 'Парк' газовая печь дымит при розжиге.",medium
"В подвале дома №220 обнаружена утечка газа из-за некачественной сварки.",high
"В квартире №30 на 3 этаже газовая плита искрит при включении.",medium
"В районе ул. Юбилейной аварийная служба ремонтирует газопровод.",high
"В доме №225 газовая труба повреждена во время установки забора.",medium
"В цеху №12 завода произошла утечка газа из-за поломки регулятора.",high
"В квартире №31 на 9 этаже газовая колонка периодически отключается.",low
"В подъезде дома №230 жители сообщают о слабом запахе газа.",medium
"На газовой заправке не работает аварийный клапан.",high
"В доме №235 газовая система отключилась из-за скачка напряжения.",medium
"В ресторане 'Омега' газовая печь не запускается.",medium
"В подвале дома №240 обнаружена утечка газа из-за старых соединений.",high
"В квартире №32 на 4 этаже газовая плита не зажигается.",low
"В больнице на 10 этаже сработал датчик утечки газа в операционной.",high
"В посёлке 'Сосновый' газовая магистраль перекрыта из-за аварии.",high
"В доме №245 газовая колонка издаёт гул.",low
"В цеху №13 завода 'Металлпрофиль' утечка газа из-за разрыва трубы.",high
"В квартире №33 на 5 этаже газовая система выдаёт ошибку 'Gas Leak'.",medium
"На ул. Индустриальной плановый осмотр газовых сетей.",low
"В доме №250 газовая труба покрыта конденсатом.",medium
